Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
56,"Tuesday, May 30",boxscore,KCR,@,STL,L,1,2,,17-39,5,11.5,Mikolas,Hernández,Gallegos,2:19,N,38406,.06,-,,AL Central,AL
57,"Friday, Jun 2",boxscore,KCR,,COL,L,2,7,,17-40,5,13.5,Suter,Hernández,Lawrence,2:41,N,23482,.04,--,,AL Central,AL
58,"Saturday, Jun 3",boxscore,KCR,,COL,L,4,6,,17-41,5,13.5,Carasiti,Lynch,Lawrence,2:55,D,16492,.03,---,,AL Central,AL
59,"Sunday, Jun 4",boxscore,KCR,,COL,W,2,0,,18-41,5,12.5,Singer,Freeland,Barlow,2:31,D,13128,.03,+,,AL Central,AL
60,"Monday, Jun 5",boxscore,KCR,@,MIA,L,6,9,,18-42,5,13.0,Garrett,Mayers,Floro,2:32,N,7232,.04,-,,AL Central,AL
61,"Tuesday, Jun 6",boxscore,KCR,@,MIA,L,1,6,,18-43,5,13.0,Luzardo,Greinke,,2:14,N,7342,.04,--,,AL Central,AL
62,"Wednesday, Jun 7",boxscore,KCR,@,MIA,L,1,6,,18-44,5,13.0,Cabrera,Lyles,,2:03,N,7673,.04,---,,AL Central,AL
63,"Friday, Jun 9",boxscore,KCR,@,BAL,L,2,3,,18-45,5,13.5,Wells,Lynch,Bautista,2:29,N,18076,.03,----,,AL Central,AL
64,"Saturday, Jun 10",boxscore,KCR,@,BAL,L,1,6,,18-46,5,14.5,Irvin,Singer,,2:51,D,34136,.03,-----,,AL Central,AL
65,"Sunday, Jun 11",boxscore,KCR,@,BAL,L,3,11,,18-47,5,14.5,Gibson,Mayers,,2:36,D,23255,.01,------,,AL Central,AL
66,"Monday, Jun 12",boxscore,KCR,,CIN,L,4,5,10,18-48,5,15.0,Farmer,Hernández,Karcher,3:27,N,20500,.02,-------,,AL Central,AL
67,"Tuesday, Jun 13",boxscore,KCR,,CIN,L,4,5,,18-49,5,16.0,Williamson,Lyles,Díaz,2:30,N,16931,.01,--------,,AL Central,AL
68,"Wednesday, Jun 14",boxscore,KCR,,CIN,L,4,7,,18-50,5,17.0,Lively,Lynch,Díaz,2:40,N,13731,.01,---------,,AL Central,AL
69,"Friday, Jun 16",boxscore,KCR,,LAA,L,0,3,,18-51,5,16.5,Sandoval,Singer,Bachman,2:41,N,19834,.01,----------,,AL Central,AL
70,"Saturday, Jun 17",boxscore,KCR,,LAA,W-wo,10,9,,19-51,5,16.5,Chapman,Devenski,,3:13,D,21056,.00,+,,AL Central,AL
71,"Sunday, Jun 18",boxscore,KCR,,LAA,L,2,5,,19-52,5,16.5,Anderson,Greinke,Estévez,2:31,D,24385,.00,-,,AL Central,AL
72,"Monday, Jun 19",boxscore,KCR,@,DET,L,4,6,,19-53,5,16.5,Alexander,Clarke,Lange,2:20,N,18438,.01,--,,AL Central,AL
73,"Tuesday, Jun 20",boxscore,KCR,@,DET,W,1,0,,20-53,5,15.5,Lynch,Lorenzen,Barlow,2:11,N,18409,.01,+,,AL Central,AL
74,"Wednesday, Jun 21",boxscore,KCR,@,DET,L,4,9,,20-54,5,16.5,Boyd,Singer,,2:32,D,20195,.00,-,,AL Central,AL
75,"Thursday, Jun 22",boxscore,KCR,@,TBR,W,6,5,,21-54,5,16.5,Chapman,Fairbanks,Barlow,3:01,N,10436,.00,+,,AL Central,AL
76,"Friday, Jun 23",boxscore,KCR,@,TBR,L,3,11,,21-55,5,17.5,Eflin,Greinke,,2:45,N,16189,.00,-,,AL Central,AL
77,"Saturday, Jun 24",boxscore,KCR,@,TBR,W,9,4,,22-55,5,16.5,Lyles,Chirinos,,2:18,D,20884,.00,+,,AL Central,AL
78,"Sunday, Jun 25",boxscore,KCR,@,TBR,L,1,3,,22-56,5,17.5,Poche,Clarke,Fairbanks,2:43,D,18442,.01,-,,AL Central,AL
79,"Tuesday, Jun 27",boxscore,KCR,,CLE,L,1,2,,22-57,5,17.0,Stephan,Barlow,Clase,2:26,N,15718,.01,--,,AL Central,AL
80,"Wednesday, Jun 28",boxscore,KCR,,CLE,L,1,14,,22-58,5,17.5,Sandlin,Cox,,2:47,N,11978,.00,---,,AL Central,AL
81,"Thursday, Jun 29",boxscore,KCR,,CLE,W-wo,4,3,10,23-58,5,16.5,Chapman,Clase,,2:47,D,12414,.00,+,,AL Central,AL
82,"Friday, Jun 30",boxscore,KCR,,LAD,L,3,9,,23-59,5,17.5,Miller,Marsh,,2:57,N,22006,.00,-,,AL Central,AL
83,"Saturday, Jul 1",boxscore,KCR,,LAD,W,6,4,,24-59,5,17.5,Lynch,Urías,Barlow,2:44,N,21004,.00,+,,AL Central,AL
84,"Sunday, Jul 2",boxscore,KCR,,LAD,W,9,1,,25-59,5,16.5,Singer,Gonsolin,,2:40,D,19058,.00,++,,AL Central,AL
85,"Monday, Jul 3",boxscore,KCR,@,MIN,L,4,8,,25-60,5,17.5,Headrick,Clarke,,2:44,N,28218,.00,-,,AL Central,AL
86,"Tuesday, Jul 4",boxscore,KCR,@,MIN,L,3,9,,25-61,5,18.5,Maeda,Greinke,,2:20,D,25033,.00,--,,AL Central,AL
87,"Wednesday, Jul 5",boxscore,KCR,@,MIN,L,0,5,,25-62,5,19.5,López,Marsh,,2:17,N,19692,.00,---,,AL Central,AL
88,"Thursday, Jul 6",boxscore,KCR,@,CLE,L,1,6,,25-63,5,20.0,Morgan,Garrett,,2:50,N,17464,.00,----,,AL Central,AL
89,"Friday, Jul 7",boxscore,KCR,@,CLE,L,0,3,,25-64,5,20.0,Civale,Lynch,Clase,1:51,N,29990,.00,-----,,AL Central,AL
90,"Saturday, Jul 8",boxscore,KCR,@,CLE,L,6,10,,25-65,5,20.5,Williams,Singer,,2:54,D,30864,.00,------,,AL Central,AL
91,"Sunday, Jul 9",boxscore,KCR,@,CLE,W,4,1,,26-65,5,19.5,Yarbrough,Bieber,Barlow,2:24,D,25911,.00,+,,AL Central,AL
92,"Saturday, Jul 15 (1)",boxscore,KCR,,TBR,L,1,6,,26-66,5,21.0,Glasnow,Marsh,,2:24,D,15428,.00,-,,AL Central,AL
93,"Saturday, Jul 15 (2)",boxscore,KCR,,TBR,L,2,4,,26-67,5,21.0,Poche,Hernández,Fairbanks,2:20,N,18052,.00,--,,AL Central,AL
94,"Sunday, Jul 16",boxscore,KCR,,TBR,W,8,4,,27-67,5,21.0,Singer,Eflin,,1:54,D,15632,.00,+,,AL Central,AL
95,"Monday, Jul 17",boxscore,KCR,,DET,L,2,3,,27-68,5,21.0,White,Clarke,Lange,2:36,N,19440,.00,-,,AL Central,AL
96,"Tuesday, Jul 18",boxscore,KCR,,DET,W,11,10,,28-68,5,21.0,Lynch,Skubal,,2:28,N,18448,.00,+,,AL Central,AL
97,"Wednesday, Jul 19",boxscore,KCR,,DET,L,2,3,,28-69,5,22.0,Rodriguez,Yarbrough,Lange,2:12,N,17903,.00,-,,AL Central,AL
98,"Thursday, Jul 20",boxscore,KCR,,DET,L,0,3,,28-70,5,22.0,Lorenzen,Greinke,Foley,2:07,D,11478,.00,--,,AL Central,AL
99,"Friday, Jul 21",boxscore,KCR,@,NYY,L,4,5,,28-71,5,23.0,Schmidt,Marsh,Holmes,2:22,N,46242,.00,---,,AL Central,AL
100,"Saturday, Jul 22",boxscore,KCR,@,NYY,L,2,5,,28-72,5,24.0,Peralta,Hernández,Holmes,2:33,D,44401,.00,----,,AL Central,AL
101,"Sunday, Jul 23",boxscore,KCR,@,NYY,L,5,8,,28-73,5,25.0,Severino,Lyles,,2:47,D,44130,.00,-----,,AL Central,AL
102,"Monday, Jul 24",boxscore,KCR,@,CLE,W,5,3,,29-73,5,25.0,Yarbrough,Allen,Barlow,2:19,N,19630,.00,+,,AL Central,AL
103,"Tuesday, Jul 25",boxscore,KCR,@,CLE,L,1,5,,29-74,5,25.0,Civale,Greinke,,1:59,N,22177,.00,-,,AL Central,AL
104,"Wednesday, Jul 26",boxscore,KCR,@,CLE,L,3,8,,29-75,5,25.0,Sandlin,Marsh,,3:07,D,26699,.00,--,,AL Central,AL
1,"Thursday, Mar 30",boxscore,TEX,,PHI,W,11,7,,1-0,1,Tied,Ragans,Soto,,3:04,D,38387,.89,+,,AL West,AL
2,"Saturday, Apr 1",boxscore,TEX,,PHI,W,16,3,,2-0,1,up 0.5,Eovaldi,Wheeler,,3:10,D,31916,.90,++,,AL West,AL
3,"Sunday, Apr 2",boxscore,TEX,,PHI,W,2,1,,3-0,1,up 1.0,Pérez,Falter,Smith,2:24,N,25823,.93,+++,,AL West,AL
4,"Monday, Apr 3",boxscore,TEX,,BAL,L,0,2,,3-1,1,Tied,Coulombe,Gray,Bautista,2:18,N,15867,1.09,-,,AL West,AL
5,"Tuesday, Apr 4",boxscore,TEX,,BAL,L,2,7,,3-2,1,Tied,Gibson,Heaney,,2:30,N,16268,1.01,--,,AL West,AL
6,"Wednesday, Apr 5",boxscore,TEX,,BAL,W,5,2,,4-2,1,Tied,deGrom,Voth,Leclerc,2:19,D,18560,.99,+,,AL West,AL
7,"Friday, Apr 7",boxscore,TEX,@,CHC,L,0,2,,4-3,1,Tied,Stroman,Eovaldi,Fulmer,2:17,D,29094,.95,-,,AL West,AL
8,"Saturday, Apr 8",boxscore,TEX,@,CHC,L,3,10,,4-4,2,1.0,Steele,Pérez,,2:55,D,33578,.96,--,,AL West,AL
9,"Sunday, Apr 9",boxscore,TEX,@,CHC,W,8,2,,5-4,1,Tied,Gray,Taillon,,2:31,D,28807,.91,+,,AL West,AL
10,"Monday, Apr 10",boxscore,TEX,,KCR,W,11,2,,6-4,1,up 1.0,Heaney,Greinke,,2:30,N,17430,.99,++,,AL West,AL
11,"Tuesday, Apr 11",boxscore,TEX,,KCR,W-wo,8,5,10,7-4,1,up 1.0,Ragans,Barlow,,2:51,N,17760,1.05,+++,,AL West,AL
12,"Wednesday, Apr 12",boxscore,TEX,,KCR,L,1,10,,7-5,1,Tied,Keller,Eovaldi,,2:24,N,18380,1.07,-,,AL West,AL
13,"Friday, Apr 14",boxscore,TEX,@,HOU,W,6,2,,8-5,1,up 1.0,Pérez,Garcia,,2:46,N,39343,1.12,+,,AL West,AL
14,"Saturday, Apr 15",boxscore,TEX,@,HOU,L,2,8,,8-6,1,up 1.0,Brown,Ragans,,2:35,N,39257,1.17,-,,AL West,AL
15,"Sunday, Apr 16",boxscore,TEX,@,HOU,W,9,1,,9-6,1,up 1.5,Burke,Valdez,,2:59,N,39122,1.09,+,,AL West,AL
16,"Monday, Apr 17",boxscore,TEX,@,KCR,W,4,0,,10-6,1,up 2.0,Dunning,Lyles,,2:02,N,11068,1.08,++,,AL West,AL
17,"Tuesday, Apr 18",boxscore,TEX,@,KCR,W,12,2,,11-6,1,up 2.0,Eovaldi,Keller,,2:40,N,12118,1.11,+++,,AL West,AL
18,"Wednesday, Apr 19",boxscore,TEX,@,KCR,W,12,3,,12-6,1,up 3.0,Pérez,Singer,,2:40,D,10388,1.13,++++,,AL West,AL
19,"Friday, Apr 21",boxscore,TEX,,OAK,L,4,5,,12-7,1,up 2.5,Jackson,Smith,Familia,2:56,N,28775,1.17,-,,AL West,AL
20,"Saturday, Apr 22",boxscore,TEX,,OAK,W,18,3,,13-7,1,up 2.5,Heaney,Fujinami,,2:45,N,32388,1.11,+,,AL West,AL
21,"Sunday, Apr 23",boxscore,TEX,,OAK,W,5,2,,14-7,1,up 2.5,deGrom,Muller,Smith,2:31,D,34916,1.17,++,,AL West,AL
22,"Monday, Apr 24",boxscore,TEX,@,CIN,L-wo,6,7,,14-8,1,up 2.5,Díaz,Leclerc,,2:36,N,8810,1.14,-,,AL West,AL
23,"Tuesday, Apr 25",boxscore,TEX,@,CIN,L,6,7,,14-9,1,up 1.5,Sanmartin,Kennedy,Díaz,2:34,N,9969,1.15,--,,AL West,AL
24,"Wednesday, Apr 26",boxscore,TEX,@,CIN,L-wo,3,5,,14-10,1,up 0.5,Sims,Hernández,,2:34,D,10256,1.11,---,,AL West,AL
25,"Thursday, Apr 27",boxscore,TEX,,NYY,L,2,4,,14-11,1,Tied,Cole,Heaney,King,2:09,N,31325,1.15,----,,AL West,AL
26,"Friday, Apr 28",boxscore,TEX,,NYY,W,5,2,,15-11,1,up 1.0,Dunning,Schmidt,Smith,2:20,N,36341,1.12,+,,AL West,AL
27,"Saturday, Apr 29",boxscore,TEX,,NYY,W,2,0,,16-11,1,up 2.0,Eovaldi,Brito,,2:06,N,40027,1.15,++,,AL West,AL
28,"Sunday, Apr 30",boxscore,TEX,,NYY,W,15,2,,17-11,1,up 2.0,Pérez,Cortes,,2:30,D,39078,1.19,+++,,AL West,AL
29,"Tuesday, May 2",boxscore,TEX,,ARI,W,6,4,,18-11,1,up 2.5,Burke,McGough,Smith,2:57,N,23086,1.11,++++,,AL West,AL
30,"Wednesday, May 3",boxscore,TEX,,ARI,L,7,12,,18-12,1,up 1.5,Mantiply,Sborz,,3:05,D,21427,1.17,-,,AL West,AL
31,"Friday, May 5",boxscore,TEX,@,LAA,L-wo,4,5,10,18-13,1,Tied,Estévez,Smith,,2:55,N,39073,1.35,--,,AL West,AL
32,"Saturday, May 6",boxscore,TEX,@,LAA,W,10,1,,19-13,1,up 1.0,Eovaldi,Detmers,,2:48,N,37409,1.38,+,,AL West,AL
33,"Sunday, May 7",boxscore,TEX,@,LAA,W,16,8,,20-13,1,up 2.0,Sborz,Suarez,,3:06,D,41641,1.40,++,,AL West,AL
34,"Monday, May 8",boxscore,TEX,@,SEA,W,2,1,,21-13,1,up 2.0,Gray,Gilbert,Smith,2:16,N,15282,1.38,+++,,AL West,AL
35,"Tuesday, May 9",boxscore,TEX,@,SEA,L,0,5,,21-14,1,up 2.0,Kirby,Heaney,,2:20,N,17638,1.35,-,,AL West,AL
36,"Wednesday, May 10",boxscore,TEX,@,SEA,W,4,3,,22-14,1,up 3.0,Dunning,Castillo,Smith,2:33,D,22480,1.40,+,,AL West,AL
37,"Thursday, May 11",boxscore,TEX,@,OAK,W,4,0,,23-14,1,up 3.5,Eovaldi,Medina,Smith,2:16,N,2949,1.24,++,,AL West,AL
38,"Friday, May 12",boxscore,TEX,@,OAK,L-wo,7,9,10,23-15,1,up 2.5,Fujinami,Burke,,3:31,N,6575,1.19,-,,AL West,AL
39,"Saturday, May 13",boxscore,TEX,@,OAK,W,5,0,,24-15,1,up 3.5,Gray,Kaprielian,,2:18,D,8230,1.25,+,,AL West,AL
40,"Sunday, May 14",boxscore,TEX,@,OAK,W,11,3,,25-15,1,up 4.0,Hernández,Pruitt,,2:46,D,7793,1.26,++,,AL West,AL
41,"Monday, May 15",boxscore,TEX,,ATL,L,0,12,,25-16,1,up 3.0,Morton,Bradford,,2:31,N,26791,1.23,-,,AL West,AL
42,"Tuesday, May 16",boxscore,TEX,,ATL,W,7,4,,26-16,1,up 3.0,Dunning,Shuster,Smith,2:15,N,23246,1.22,+,,AL West,AL
43,"Wednesday, May 17",boxscore,TEX,,ATL,L,5,6,,26-17,1,up 2.0,Anderson,Burke,Iglesias,2:29,N,30035,1.23,-,,AL West,AL
44,"Friday, May 19",boxscore,TEX,,COL,W,7,2,,27-17,1,up 2.0,Pérez,Kauffmann,,2:23,N,30819,1.23,+,,AL West,AL
45,"Saturday, May 20",boxscore,TEX,,COL,W,11,5,,28-17,1,up 2.0,Gray,Freeland,,2:57,D,34443,1.25,++,,AL West,AL
46,"Sunday, May 21",boxscore,TEX,,COL,W,13,3,,29-17,1,up 2.0,Heaney,Seabold,,2:50,D,32733,1.29,+++,,AL West,AL
47,"Monday, May 22",boxscore,TEX,@,PIT,L,4,6,,29-18,1,up 1.0,Ortiz,Sborz,,2:29,N,10574,1.22,-,,AL West,AL
48,"Tuesday, May 23",boxscore,TEX,@,PIT,W,6,1,,30-18,1,up 2.0,Eovaldi,Hill,,2:13,N,12061,1.26,+,,AL West,AL
49,"Wednesday, May 24",boxscore,TEX,@,PIT,W,3,2,,31-18,1,up 3.0,Pérez,Oviedo,Smith,2:21,D,18347,1.28,++,,AL West,AL
50,"Friday, May 26",boxscore,TEX,@,BAL,W,12,2,,32-18,1,up 3.0,Gray,Rodriguez,,2:36,N,20293,1.34,+++,,AL West,AL
51,"Saturday, May 27",boxscore,TEX,@,BAL,W,5,3,,33-18,1,up 3.0,Heaney,Kremer,,2:28,D,37939,1.31,++++,,AL West,AL
52,"Sunday, May 28",boxscore,TEX,@,BAL,L,2,3,,33-19,1,up 2.0,Coulombe,Ragans,Bautista,2:30,D,25124,1.29,-,,AL West,AL
53,"Monday, May 29",boxscore,TEX,@,DET,W,5,0,,34-19,1,up 3.0,Eovaldi,Boyd,,2:35,D,19021,1.33,+,,AL West,AL
54,"Tuesday, May 30",boxscore,TEX,@,DET,W,10,6,,35-19,1,up 3.0,Anderson,Faedo,,2:41,N,14616,1.33,++,,AL West,AL
55,"Wednesday, May 31",boxscore,TEX,@,DET,L,2,3,,35-20,1,up 3.0,Vest,Dunning,Lange,2:44,D,20968,1.22,-,,AL West,AL
56,"Friday, Jun 2",boxscore,TEX,,SEA,W,2,0,,36-20,1,up 2.5,Gray,Castillo,Smith,2:05,N,31685,1.39,+,,AL West,AL
57,"Saturday, Jun 3",boxscore,TEX,,SEA,W,16,6,,37-20,1,up 2.5,Sborz,Woo,,3:01,D,34435,1.40,++,,AL West,AL
58,"Sunday, Jun 4",boxscore,TEX,,SEA,W,12,3,,38-20,1,up 3.5,Eovaldi,Miller,,2:51,D,36495,1.28,+++,,AL West,AL
59,"Monday, Jun 5",boxscore,TEX,,STL,W-wo,4,3,,39-20,1,up 3.5,Smith,Cabrera,,2:33,N,25161,1.10,++++,,AL West,AL
60,"Tuesday, Jun 6",boxscore,TEX,,STL,W,6,4,,40-20,1,up 4.5,Dunning,Liberatore,Smith,2:44,N,28151,1.09,+++++,,AL West,AL
61,"Wednesday, Jun 7",boxscore,TEX,,STL,L,0,1,,40-21,1,up 4.5,Hicks,Gray,Helsley,2:17,N,30251,1.03,-,,AL West,AL
62,"Friday, Jun 9",boxscore,TEX,@,TBR,L,3,8,,40-22,1,up 5.0,Glasnow,Heaney,,2:20,N,17447,1.12,--,,AL West,AL
63,"Saturday, Jun 10",boxscore,TEX,@,TBR,W,8,4,,41-22,1,up 5.0,Eovaldi,Bradley,,2:56,D,18932,1.14,+,,AL West,AL
64,"Sunday, Jun 11",boxscore,TEX,@,TBR,L,3,7,,41-23,1,up 5.0,McClanahan,Pérez,,2:22,D,23069,1.11,-,,AL West,AL
65,"Monday, Jun 12",boxscore,TEX,,LAA,L,6,9,12,41-24,1,up 4.5,Bachman,Ragans,,3:49,N,26667,1.38,--,,AL West,AL
66,"Tuesday, Jun 13",boxscore,TEX,,LAA,L,3,7,,41-25,1,up 3.5,Herget,White,Estévez,2:55,N,25832,1.51,---,,AL West,AL
67,"Wednesday, Jun 14",boxscore,TEX,,LAA,W,6,3,,42-25,1,up 3.5,Sborz,Herget,,2:39,N,25406,1.58,+,,AL West,AL
68,"Thursday, Jun 15",boxscore,TEX,,LAA,L,3,5,,42-26,1,up 3.5,Ohtani,Eovaldi,Webb,2:47,N,35092,1.54,-,,AL West,AL
69,"Friday, Jun 16",boxscore,TEX,,TOR,L,1,2,,42-27,1,up 3.5,Gausman,Pérez,Romano,2:28,N,34308,1.38,--,,AL West,AL
70,"Saturday, Jun 17",boxscore,TEX,,TOR,W,4,2,,43-27,1,up 4.5,Dunning,Richards,Smith,2:37,D,39383,1.41,+,,AL West,AL
71,"Sunday, Jun 18",boxscore,TEX,,TOR,W,11,7,,44-27,1,up 4.5,King,Pearson,,3:08,D,38515,1.35,++,,AL West,AL
72,"Monday, Jun 19",boxscore,TEX,@,CHW,W,5,2,,45-27,1,up 5.0,Heaney,Banks,Smith,2:47,N,19554,1.20,+++,,AL West,AL
73,"Tuesday, Jun 20",boxscore,TEX,@,CHW,L,6,7,,45-28,1,up 5.0,Graveman,Anderson,,2:55,N,21048,1.16,-,,AL West,AL
74,"Wednesday, Jun 21",boxscore,TEX,@,CHW,W,6,3,,46-28,1,up 5.5,Pérez,Kopech,,2:26,N,18963,1.26,+,,AL West,AL
75,"Friday, Jun 23",boxscore,TEX,@,NYY,W,4,2,10,47-28,1,up 6.5,Barlow,King,Smith,2:36,N,44822,1.19,++,,AL West,AL
76,"Saturday, Jun 24",boxscore,TEX,@,NYY,L,0,1,,47-29,1,up 6.0,Severino,Gray,Marinaccio,2:28,D,46018,1.10,-,,AL West,AL
77,"Sunday, Jun 25",boxscore,TEX,@,NYY,L,3,5,,47-30,1,up 5.5,Marinaccio,King,King,2:49,D,46064,1.21,--,,AL West,AL
78,"Monday, Jun 26",boxscore,TEX,,DET,L,2,7,,47-31,1,up 5.0,Englert,Heaney,,2:50,N,22320,1.22,---,,AL West,AL
79,"Tuesday, Jun 27",boxscore,TEX,,DET,W,8,3,,48-31,1,up 5.0,Sborz,White,,2:32,N,22805,1.26,+,,AL West,AL
80,"Wednesday, Jun 28",boxscore,TEX,,DET,W,10,2,,49-31,1,up 6.0,Dunning,Wentz,,2:27,N,27192,1.21,++,,AL West,AL
81,"Thursday, Jun 29",boxscore,TEX,,DET,L,5,8,,49-32,1,up 5.0,Englert,Barlow,,2:54,D,26977,1.15,-,,AL West,AL
82,"Friday, Jun 30",boxscore,TEX,,HOU,L,3,5,,49-33,1,up 4.0,Blanco,Gray,Pressly,2:26,N,39174,1.62,--,,AL West,AL
83,"Saturday, Jul 1",boxscore,TEX,,HOU,W,5,2,,50-33,1,up 5.0,Eovaldi,Brown,,2:41,D,40380,1.72,+,,AL West,AL
84,"Sunday, Jul 2",boxscore,TEX,,HOU,L,3,5,,50-34,1,up 4.0,Neris,Sborz,Pressly,2:41,D,39580,1.64,-,,AL West,AL
85,"Monday, Jul 3",boxscore,TEX,,HOU,L,11,12,,50-35,1,up 3.0,Abreu,Smith,Pressly,3:04,D,38936,1.75,--,,AL West,AL
86,"Tuesday, Jul 4",boxscore,TEX,@,BOS,W,6,2,,51-35,1,up 3.0,Dunning,Ort,Smith,2:40,D,36136,1.47,+,,AL West,AL
87,"Wednesday, Jul 5",boxscore,TEX,@,BOS,L,2,4,,51-36,1,up 2.0,Bello,Gray,Jansen,2:21,N,31568,1.37,-,,AL West,AL
88,"Thursday, Jul 6",boxscore,TEX,@,BOS,L,6,10,,51-37,1,up 2.0,Winckowski,Sborz,,3:14,N,33847,1.45,--,,AL West,AL
89,"Friday, Jul 7",boxscore,TEX,@,WSN,W,7,2,,52-37,1,up 3.0,Bradford,Williams,,2:27,N,19322,1.43,+,,AL West,AL
90,"Saturday, Jul 8",boxscore,TEX,@,WSN,L,3,8,,52-38,1,up 2.0,Irvin,Heaney,,2:12,D,29402,1.39,-,,AL West,AL
91,"Sunday, Jul 9",boxscore,TEX,@,WSN,L,2,7,,52-39,1,up 2.0,Corbin,Dunning,,2:25,D,17547,1.48,--,,AL West,AL
92,"Friday, Jul 14",boxscore,TEX,,CLE,W,12,4,,53-39,1,up 2.0,Burke,Hentges,,2:51,N,33863,1.63,+,,AL West,AL
93,"Saturday, Jul 15",boxscore,TEX,,CLE,W,2,0,,54-39,1,up 3.0,Heaney,Williams,Chapman,2:28,D,37730,1.58,++,,AL West,AL
94,"Sunday, Jul 16",boxscore,TEX,,CLE,W,6,5,,55-39,1,up 3.0,Bradford,Stephan,Smith,2:43,D,33957,1.46,+++,,AL West,AL
95,"Monday, Jul 17",boxscore,TEX,,TBR,W-wo,3,2,,56-39,1,up 3.5,Chapman,Fairbanks,,2:07,N,29901,1.42,++++,,AL West,AL
96,"Tuesday, Jul 18",boxscore,TEX,,TBR,W,5,3,,57-39,1,up 4.5,Eovaldi,Bradley,Smith,2:37,N,34677,1.34,+++++,,AL West,AL
97,"Wednesday, Jul 19",boxscore,TEX,,TBR,W,5,1,,58-39,1,up 4.5,Burke,Littell,,2:38,D,31591,1.25,++++++,,AL West,AL
98,"Friday, Jul 21",boxscore,TEX,,LAD,L,5,11,,58-40,1,up 3.0,Brasier,Speas,,3:21,N,39808,1.18,-,,AL West,AL
99,"Saturday, Jul 22",boxscore,TEX,,LAD,L,3,16,,58-41,1,up 3.0,Miller,Dunning,,2:50,D,40738,1.34,--,,AL West,AL
100,"Sunday, Jul 23",boxscore,TEX,,LAD,W,8,4,,59-41,1,up 3.0,Pérez,Sheehan,,2:23,D,39632,1.34,+,,AL West,AL
101,"Monday, Jul 24",boxscore,TEX,@,HOU,L-wo,9,10,,59-42,1,up 2.0,Pressly,Speas,,3:17,N,37973,2.01,-,,AL West,AL
102,"Tuesday, Jul 25",boxscore,TEX,@,HOU,L,3,4,,59-43,1,up 1.0,France,Rodríguez,Pressly,2:20,N,40520,2.16,--,,AL West,AL
103,"Wednesday, Jul 26",boxscore,TEX,@,HOU,W,13,5,,60-43,1,up 2.0,Heaney,Valdez,,2:58,N,40398,2.20,+,,AL West,AL
1,"Thursday, Mar 30",boxscore,HOU,,CHW,L,2,3,,0-1,4,1.0,Graveman,Pressly,López,2:38,N,43032,.92,-,,AL West,AL
2,"Friday, Mar 31",boxscore,HOU,,CHW,W,6,3,,1-1,3,0.5,Martinez,Graveman,Montero,2:40,N,41453,.92,+,,AL West,AL
3,"Saturday, Apr 1",boxscore,HOU,,CHW,W,6,4,,2-1,2,0.5,Stanek,Kelly,Neris,3:11,D,37519,.93,++,,AL West,AL
4,"Sunday, Apr 2",boxscore,HOU,,CHW,L,3,6,,2-2,3,1.5,Clevinger,Garcia,,3:06,D,42835,1.00,-,,AL West,AL
5,"Monday, Apr 3",boxscore,HOU,,DET,L,6,7,11,2-3,3,1.5,Wingenter,Neris,Hill,3:21,N,29272,.93,--,,AL West,AL
6,"Tuesday, Apr 4",boxscore,HOU,,DET,L,3,6,,2-4,4,1.5,Manning,Valdez,,2:32,N,30613,.87,---,,AL West,AL
7,"Wednesday, Apr 5",boxscore,HOU,,DET,W,8,2,,3-4,3,1.5,Javier,Rodriguez,,2:35,D,37932,.84,+,,AL West,AL
8,"Friday, Apr 7",boxscore,HOU,@,MIN,L-wo,2,3,10,3-5,3,1.5,López,Stanek,,2:47,D,38465,.89,-,,AL West,AL
9,"Saturday, Apr 8",boxscore,HOU,@,MIN,L,6,9,,3-6,4,2.5,Ryan,Martinez,Duran,2:27,D,26330,.87,--,,AL West,AL
10,"Sunday, Apr 9",boxscore,HOU,@,MIN,W,5,1,,4-6,3,1.5,Brown,Mahle,,2:33,D,14316,.80,+,,AL West,AL
11,"Monday, Apr 10",boxscore,HOU,@,PIT,W,8,2,,5-6,3,1.5,Valdez,Contreras,,2:39,N,10222,.82,++,,AL West,AL
12,"Tuesday, Apr 11",boxscore,HOU,@,PIT,L-wo,4,7,,5-7,3,2.5,Bednar,Pressly,,2:30,N,9996,.87,-,,AL West,AL
13,"Wednesday, Apr 12",boxscore,HOU,@,PIT,W,7,0,,6-7,3,1.5,Urquidy,Hill,,2:51,D,10064,.83,+,,AL West,AL
14,"Friday, Apr 14",boxscore,HOU,,TEX,L,2,6,,6-8,3,2.5,Pérez,Garcia,,2:46,N,39343,.98,-,,AL West,AL
15,"Saturday, Apr 15",boxscore,HOU,,TEX,W,8,2,,7-8,3,1.5,Brown,Ragans,,2:35,N,39257,.96,+,,AL West,AL
16,"Sunday, Apr 16",boxscore,HOU,,TEX,L,1,9,,7-9,4,2.5,Burke,Valdez,,2:59,N,39122,.98,-,,AL West,AL
17,"Monday, Apr 17",boxscore,HOU,,TOR,W,9,2,,8-9,3,2.5,Javier,Gausman,,2:45,N,30873,.85,+,,AL West,AL
